DateTime,StatusType,Timestamp,TimeDelta,PacketLength,SourceIP,DestinationIP,SourcePort,DestinationPort,Payload
2021-08-25 17:18:25.807954+01:00,SPEED,0.0,0.0,130,172.16.0.101,172.16.0.100,28091,28091,30
2021-08-25 17:18:25.812376+01:00,THROTTLE,0.004422,0.004422,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.812377+01:00,BRAKE,0.004423,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.817995+01:00,SPEED,0.010041,0.005618,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:25.822357+01:00,THROTTLE,0.014403,0.004362,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.822358+01:00,BRAKE,0.014404,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.827758+01:00,SPEED,0.019804,0.0054,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:25.832382+01:00,THROTTLE,0.024428,0.004624,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.832384+01:00,BRAKE,0.02443,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.837828+01:00,SPEED,0.029874,0.005444,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:25.842547+01:00,THROTTLE,0.034593,0.004719,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.842547+01:00,BRAKE,0.034593,0.0,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.842548+01:00,CRUISE,0.034594,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,10000
2021-08-25 17:18:25.847949+01:00,SPEED,0.039995,0.005401,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:25.852417+01:00,THROTTLE,0.044463,0.004468,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.852418+01:00,BRAKE,0.044464,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.857827+01:00,SPEED,0.049873,0.005409,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:25.862389+01:00,THROTTLE,0.054435,0.004562,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.862391+01:00,BRAKE,0.054437,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.867810+01:00,SPEED,0.059856,0.005419,130,172.16.0.101,172.16.0.100,28091,28091,30
2021-08-25 17:18:25.872431+01:00,THROTTLE,0.064477,0.004621,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.872432+01:00,BRAKE,0.064478,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.877823+01:00,SPEED,0.069869,0.005391,130,172.16.0.101,172.16.0.100,28091,28091,30
2021-08-25 17:18:25.882427+01:00,THROTTLE,0.074473,0.004604,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.882428+01:00,BRAKE,0.074474,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.887808+01:00,SPEED,0.079854,0.00538,130,172.16.0.101,172.16.0.100,28091,28091,30
2021-08-25 17:18:25.892598+01:00,THROTTLE,0.084644,0.00479,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.892600+01:00,BRAKE,0.084646,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.892600+01:00,CRUISE,0.084646,0.0,122,172.16.0.100,172.16.0.101,28191,28191,10000
2021-08-25 17:18:25.897897+01:00,SPEED,0.089943,0.005297,130,172.16.0.101,172.16.0.100,28091,28091,30
2021-08-25 17:18:25.902683+01:00,THROTTLE,0.094729,0.004786,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.902684+01:00,BRAKE,0.09473,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.908011+01:00,SPEED,0.100057,0.005327,130,172.16.0.101,172.16.0.100,28091,28091,30
2021-08-25 17:18:25.912551+01:00,THROTTLE,0.104597,0.00454,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.912553+01:00,BRAKE,0.104599,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.917989+01:00,SPEED,0.110035,0.005436,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:25.922590+01:00,THROTTLE,0.114636,0.004601,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.922592+01:00,BRAKE,0.114638,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.928000+01:00,SPEED,0.120046,0.005408,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:25.932601+01:00,THROTTLE,0.124647,0.004601,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.932602+01:00,BRAKE,0.124648,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.938046+01:00,SPEED,0.130092,0.005444,130,172.16.0.101,172.16.0.100,28091,28091,31
2021-08-25 17:18:25.942616+01:00,THROTTLE,0.134662,0.00457,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:18:25.942619+01:00,BRAKE,0.134665,3e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
