DateTime,StatusType,Timestamp,TimeDelta,PacketLength,SourceIP,DestinationIP,SourcePort,DestinationPort,Payload
2021-08-25 17:14:41.303143+01:00,THROTTLE,0.0,0.0,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.303144+01:00,BRAKE,1e-06,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.307063+01:00,SPEED,0.00392,0.003919,130,172.16.0.101,172.16.0.100,28091,28091,0
2021-08-25 17:14:41.313347+01:00,THROTTLE,0.010204,0.006284,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.313349+01:00,BRAKE,0.010206,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.317031+01:00,SPEED,0.013888,0.003682,130,172.16.0.101,172.16.0.100,28091,28091,0
2021-08-25 17:14:41.323120+01:00,THROTTLE,0.019977,0.006089,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.323121+01:00,BRAKE,0.019978,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.326982+01:00,SPEED,0.023839,0.003861,130,172.16.0.101,172.16.0.100,28091,28091,0
2021-08-25 17:14:41.333087+01:00,THROTTLE,0.029944,0.006105,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.333097+01:00,BRAKE,0.029954,1e-05,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.337005+01:00,SPEED,0.033862,0.003908,130,172.16.0.101,172.16.0.100,28091,28091,0
2021-08-25 17:14:41.343403+01:00,THROTTLE,0.04026,0.006398,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.343404+01:00,BRAKE,0.040261,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.343405+01:00,CRUISE,0.040262,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.346990+01:00,SPEED,0.043847,0.003585,130,172.16.0.101,172.16.0.100,28091,28091,0
2021-08-25 17:14:41.353236+01:00,THROTTLE,0.050093,0.006246,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.353237+01:00,BRAKE,0.050094,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.357027+01:00,SPEED,0.053884,0.00379,130,172.16.0.101,172.16.0.100,28091,28091,0
2021-08-25 17:14:41.363206+01:00,THROTTLE,0.060063,0.006179,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.363207+01:00,BRAKE,0.060064,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.366990+01:00,SPEED,0.063847,0.003783,130,172.16.0.101,172.16.0.100,28091,28091,0
2021-08-25 17:14:41.373171+01:00,THROTTLE,0.070028,0.006181,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.373172+01:00,BRAKE,0.070029,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.376980+01:00,SPEED,0.073837,0.003808,130,172.16.0.101,172.16.0.100,28091,28091,0
2021-08-25 17:14:41.383222+01:00,THROTTLE,0.080079,0.006242,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.383224+01:00,BRAKE,0.080081,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.386958+01:00,SPEED,0.083815,0.003734,130,172.16.0.101,172.16.0.100,28091,28091,0
2021-08-25 17:14:41.393103+01:00,THROTTLE,0.08996,0.006145,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.393105+01:00,BRAKE,0.089962,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.393468+01:00,CRUISE,0.090325,0.000363,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.397184+01:00,SPEED,0.094041,0.003716,130,172.16.0.101,172.16.0.100,28091,28091,0
2021-08-25 17:14:41.403355+01:00,THROTTLE,0.100212,0.006171,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.403357+01:00,BRAKE,0.100214,2e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
2021-08-25 17:14:41.407213+01:00,SPEED,0.10407,0.003856,130,172.16.0.101,172.16.0.100,28091,28091,0
2021-08-25 17:14:41.413360+01:00,THROTTLE,0.110217,0.006147,122,172.16.0.100,172.16.0.101,28191,28191,0
