DateTime,PacketLength,Timestamp,TimeDelta,SourcePort,DestinationPort,SourceIP,DestinationIP,StatusType,Payload
2021-09-19 15:14:02.529921+01:00,122,0.0,0.0,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.529923+01:00,122,2e-06,2e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.529923+01:00,130,2e-06,0.0,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.531030+01:00,122,0.001109,0.001107,28191.0,28191.0,172.16.0.100,172.16.0.101,CRUISE,0.0
2021-09-19 15:14:02.541085+01:00,122,0.011164,0.010055,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.541086+01:00,130,0.011165,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.541086+01:00,122,0.011165,0.0,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.549888+01:00,122,0.019967,0.008802,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.549889+01:00,130,0.019968,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.549997+01:00,122,0.020076,0.000108,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.559876+01:00,122,0.029955,0.009879,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.559877+01:00,130,0.029956,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.560003+01:00,122,0.030082,0.000126,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.569921+01:00,122,0.04,0.009918,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,727.0
2021-09-19 15:14:02.569922+01:00,130,0.040001,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.569923+01:00,122,0.040002,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.579897+01:00,122,0.049976,0.009974,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.579897+01:00,122,0.049976,0.0,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.579898+01:00,130,0.049977,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,13.0
2021-09-19 15:14:02.580233+01:00,122,0.050312,0.000335,28191.0,28191.0,172.16.0.100,172.16.0.101,CRUISE,0.0
2021-09-19 15:14:02.589878+01:00,122,0.059957,0.009645,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,727.0
2021-09-19 15:14:02.590071+01:00,130,0.06015,0.000193,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,13.0
2021-09-19 15:14:02.590073+01:00,122,0.060152,2e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.599963+01:00,122,0.070042,0.00989,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.599965+01:00,130,0.070044,2e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,13.0
2021-09-19 15:14:02.599966+01:00,122,0.070045,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.609911+01:00,122,0.07999,0.009945,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.609912+01:00,130,0.079991,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,13.0
2021-09-19 15:14:02.609913+01:00,122,0.079992,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.619928+01:00,122,0.090007,0.010015,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.619929+01:00,130,0.090008,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,13.0
2021-09-19 15:14:02.619930+01:00,122,0.090009,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.629995+01:00,122,0.100074,0.010065,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.629996+01:00,122,0.100075,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.629997+01:00,130,0.100076,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.630215+01:00,122,0.100294,0.000218,28191.0,28191.0,172.16.0.100,172.16.0.101,CRUISE,0.0
2021-09-19 15:14:02.640096+01:00,122,0.110175,0.009881,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.640097+01:00,130,0.110176,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.640098+01:00,122,0.110177,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.650016+01:00,122,0.120095,0.009918,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.650017+01:00,130,0.120096,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.650018+01:00,122,0.120097,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.660000+01:00,122,0.130079,0.009982,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.660001+01:00,130,0.13008,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.660002+01:00,122,0.130081,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.669989+01:00,122,0.140068,0.009987,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.669990+01:00,130,0.140069,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.669992+01:00,122,0.140071,2e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.679875+01:00,122,0.149954,0.009883,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.679876+01:00,122,0.149955,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.679878+01:00,130,0.149957,2e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.680175+01:00,122,0.150254,0.000297,28191.0,28191.0,172.16.0.100,172.16.0.101,CRUISE,0.0
2021-09-19 15:14:02.689858+01:00,122,0.159937,0.009683,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,727.0
2021-09-19 15:14:02.689859+01:00,130,0.159938,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.690041+01:00,122,0.16012,0.000182,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.699970+01:00,122,0.170049,0.009929,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,727.0
2021-09-19 15:14:02.699971+01:00,130,0.17005,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.699972+01:00,122,0.170051,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.710023+01:00,122,0.180102,0.010051,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.710024+01:00,130,0.180103,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.710025+01:00,122,0.180104,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.719923+01:00,122,0.190002,0.009898,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.719924+01:00,130,0.190003,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.719925+01:00,122,0.190004,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.729996+01:00,122,0.200075,0.010071,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.730068+01:00,122,0.200147,7.2e-05,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.730070+01:00,130,0.200149,2e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,13.0
2021-09-19 15:14:02.730213+01:00,122,0.200292,0.000143,28191.0,28191.0,172.16.0.100,172.16.0.101,CRUISE,0.0
2021-09-19 15:14:02.739938+01:00,122,0.210017,0.009725,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,727.0
2021-09-19 15:14:02.739940+01:00,130,0.210019,2e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,13.0
2021-09-19 15:14:02.740104+01:00,122,0.210183,0.000164,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.749878+01:00,122,0.219957,0.009774,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.749964+01:00,130,0.220043,8.6e-05,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,13.0
2021-09-19 15:14:02.749965+01:00,122,0.220044,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.759960+01:00,122,0.230039,0.009995,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.759961+01:00,130,0.23004,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,13.0
2021-09-19 15:14:02.759963+01:00,122,0.230042,2e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.770015+01:00,122,0.240094,0.010052,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.770017+01:00,122,0.240096,2e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.770018+01:00,130,0.240097,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,13.0
2021-09-19 15:14:02.779965+01:00,122,0.250044,0.009947,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.779968+01:00,122,0.250047,3e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.779991+01:00,130,0.25007,2.3e-05,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.780235+01:00,122,0.250314,0.000244,28191.0,28191.0,172.16.0.100,172.16.0.101,CRUISE,0.0
2021-09-19 15:14:02.790094+01:00,122,0.260173,0.009859,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,727.0
2021-09-19 15:14:02.790095+01:00,130,0.260174,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.790096+01:00,122,0.260175,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.799962+01:00,122,0.270041,0.009866,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.799964+01:00,130,0.270043,2e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.799965+01:00,122,0.270044,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.810043+01:00,122,0.280122,0.010078,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,727.0
2021-09-19 15:14:02.810045+01:00,130,0.280124,2e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.810047+01:00,122,0.280126,2e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.819997+01:00,122,0.290076,0.00995,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.819998+01:00,130,0.290077,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.819999+01:00,122,0.290078,1e-06,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.829903+01:00,122,0.299982,0.009904,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,727.0
2021-09-19 15:14:02.829929+01:00,122,0.300008,2.6e-05,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.829930+01:00,130,0.300009,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.830208+01:00,122,0.300287,0.000278,28191.0,28191.0,172.16.0.100,172.16.0.101,CRUISE,0.0
2021-09-19 15:14:02.839987+01:00,122,0.310066,0.009779,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.839988+01:00,130,0.310067,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.840080+01:00,122,0.310159,9.2e-05,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.849895+01:00,122,0.319974,0.009815,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,717.0
2021-09-19 15:14:02.849896+01:00,130,0.319975,1e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
2021-09-19 15:14:02.849913+01:00,122,0.319992,1.7e-05,28191.0,28191.0,172.16.0.100,172.16.0.101,BRAKE,0.0
2021-09-19 15:14:02.860028+01:00,122,0.330107,0.010115,28191.0,28191.0,172.16.0.100,172.16.0.101,THROTTLE,727.0
2021-09-19 15:14:02.860030+01:00,130,0.330109,2e-06,28091.0,28091.0,172.16.0.101,172.16.0.100,SPEED,12.0
