DateTime,StatusType,Timestamp,TimeDelta,PacketLength,SourceIP,DestinationIP,SourcePort,DestinationPort,Payload
"Aug 20, 2021 14:45:34.980995000 BST",THROTTLE,0.0,0.0,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:34.980996000 BST",SPEED,1e-06,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:34.980997000 BST",BRAKE,2e-06,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:34.981163000 BST",CRUISE,0.000168,0.000166,122,172.16.0.100,172.16.0.101,28191,28191,1229
"Aug 20, 2021 14:45:34.990954000 BST",THROTTLE,0.009959,0.009791,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:34.990955000 BST",SPEED,0.00996,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:34.990990000 BST",BRAKE,0.009995,3.5e-05,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.000943000 BST",THROTTLE,0.019948,0.009953,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.000944000 BST",SPEED,0.019949,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.000964000 BST",BRAKE,0.019969,2e-05,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.010952000 BST",THROTTLE,0.029957,0.009988,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.010953000 BST",SPEED,0.029958,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.011048000 BST",BRAKE,0.030053,9.5e-05,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.020958000 BST",THROTTLE,0.039963,0.00991,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.020959000 BST",SPEED,0.039964,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.020975000 BST",BRAKE,0.03998,1.6e-05,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.031018000 BST",THROTTLE,0.050023,0.010043,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.031019000 BST",SPEED,0.050024,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.031020000 BST",BRAKE,0.050025,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.031209000 BST",CRUISE,0.050214,0.000189,122,172.16.0.100,172.16.0.101,28191,28191,1229
"Aug 20, 2021 14:45:35.040962000 BST",THROTTLE,0.059967,0.009753,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.040963000 BST",SPEED,0.059968,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.040981000 BST",BRAKE,0.059986,1.8e-05,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.050977000 BST",THROTTLE,0.069982,0.009996,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.050978000 BST",SPEED,0.069983,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.050994000 BST",BRAKE,0.069999,1.6e-05,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.060981000 BST",THROTTLE,0.079986,0.009987,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.060981000 BST",SPEED,0.079986,0.0,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.060982000 BST",BRAKE,0.079987,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.070973000 BST",THROTTLE,0.089978,0.009991,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.070974000 BST",SPEED,0.089979,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.070975000 BST",BRAKE,0.08998,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.081007000 BST",THROTTLE,0.100012,0.010032,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.081008000 BST",SPEED,0.100013,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.081009000 BST",BRAKE,0.100014,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.081178000 BST",CRUISE,0.100183,0.000169,122,172.16.0.100,172.16.0.101,28191,28191,1229
"Aug 20, 2021 14:45:35.090947000 BST",THROTTLE,0.109952,0.009769,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.090948000 BST",SPEED,0.109953,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.090976000 BST",BRAKE,0.109981,2.8e-05,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.101160000 BST",THROTTLE,0.120165,0.010184,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.101161000 BST",SPEED,0.120166,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.101162000 BST",BRAKE,0.120167,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.111214000 BST",THROTTLE,0.130219,0.010052,122,172.16.0.100,172.16.0.101,28191,28191,0
"Aug 20, 2021 14:45:35.111215000 BST",SPEED,0.13022,1e-06,130,172.16.0.101,172.16.0.100,28091,28091,16
"Aug 20, 2021 14:45:35.111216000 BST",BRAKE,0.130221,1e-06,122,172.16.0.100,172.16.0.101,28191,28191,0
