"No.","Time","Source","Destination","Protocol","Length","ThrottlePedalDemand.values.throttleDemand","Brake2Status.values.brakePressed","SpeedStatus.values.speed","SpeedStatus.values.speedRangeFault","CruiseControlDemand.values.throttleDemand","CruiseControlDemand.faults.throttleDemand","Info"
"1","0.000000","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"2","0.511822","184.26.148.25","10.70.129.112","TLSv1.2","90","","","","","","","Application Data"
"3","0.511825","184.26.148.25","10.70.129.112","TCP","66","","","","","","","443  >  59903 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0 TSval=2764943721 TSecr=1422799678"
"4","0.511826","184.26.148.25","10.70.129.112","TCP","66","","","","","","","[TCP Out-Of-Order] 443  >  59903 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0 TSval=2764943738 TSecr=1422799678"
"5","0.511902","10.70.129.112","184.26.148.25","TCP","66","","","","","","","59903  >  443 [ACK] Seq=1 Ack=25 Win=2047 Len=0 TSval=1422819671 TSecr=2764943721"
"6","0.511903","10.70.129.112","184.26.148.25","TCP","66","","","","","","","59903  >  443 [ACK] Seq=1 Ack=26 Win=2047 Len=0 TSval=1422819671 TSecr=2764943721"
"7","0.511969","10.70.129.112","184.26.148.25","TCP","66","","","","","","","[TCP Dup ACK 6#1] 59903  >  443 [ACK] Seq=1 Ack=26 Win=2047 Len=0 TSval=1422819671 TSecr=2764943721"
"8","0.512165","10.70.129.112","184.26.148.25","TLSv1.2","105","","","","","","","Application Data"
"9","0.512475","10.70.129.112","184.26.148.25","TLSv1.2","90","","","","","","","Application Data"
"10","0.512891","10.70.129.112","184.26.148.25","TCP","66","","","","","","","59903  >  443 [FIN, ACK] Seq=64 Ack=26 Win=2048 Len=0 TSval=1422819671 TSecr=2764943721"
"11","0.518218","184.26.148.25","10.70.129.112","TCP","60","","","","","","","443  >  59903 [RST] Seq=26 Win=0 Len=0"
"12","0.518221","184.26.148.25","10.70.129.112","TCP","60","","","","","","","443  >  59903 [RST] Seq=26 Win=0 Len=0"
"13","0.518222","184.26.148.25","10.70.129.112","TCP","60","","","","","","","443  >  59903 [RST] Seq=26 Win=0 Len=0"
"14","0.922224","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"15","1.126743","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"16","1.127316","23.10.252.43","10.70.129.112","TLSv1.2","90","","","","","","","Application Data"
"17","1.127320","23.10.252.43","10.70.129.112","TCP","66","","","","","","","443  >  59908 [FIN, ACK] Seq=25 Ack=1 Win=292 Len=0 TSval=2114055587 TSecr=1422800396"
"18","1.127407","10.70.129.112","23.10.252.43","TCP","66","","","","","","","59908  >  443 [ACK] Seq=1 Ack=25 Win=2047 Len=0 TSval=1422820284 TSecr=2114055587"
"19","1.127408","10.70.129.112","23.10.252.43","TCP","66","","","","","","","59908  >  443 [ACK] Seq=1 Ack=26 Win=2047 Len=0 TSval=1422820284 TSecr=2114055587"
"20","1.141191","10.70.129.112","23.10.252.43","TLSv1.2","105","","","","","","","Application Data"
"21","1.141976","10.70.129.112","23.10.252.43","TLSv1.2","90","","","","","","","Application Data"
"22","1.142680","10.70.129.112","23.10.252.43","TCP","66","","","","","","","59908  >  443 [FIN, ACK] Seq=64 Ack=26 Win=2048 Len=0 TSval=1422820298 TSecr=2114055587"
"23","1.146948","23.10.252.43","10.70.129.112","TCP","60","","","","","","","443  >  59908 [RST] Seq=26 Win=0 Len=0"
"24","1.146953","23.10.252.43","10.70.129.112","TCP","60","","","","","","","443  >  59908 [RST] Seq=26 Win=0 Len=0"
"25","1.150644","23.10.252.43","10.70.129.112","TCP","60","","","","","","","443  >  59908 [RST] Seq=26 Win=0 Len=0"
"26","2.154304","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"27","2.154309","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"28","3.074904","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"29","3.158706","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"30","4.198998","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"31","4.251030","10.70.129.112","172.67.221.13","TCP","54","","","","","","","59868  >  443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"32","4.262438","172.67.221.13","10.70.129.112","TCP","54","","","","","","","[TCP ACKed unseen segment] 443  >  59868 [ACK] Seq=1 Ack=2 Win=66 Len=0"
"33","4.505600","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"34","5.427053","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"35","5.427056","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"36","5.632044","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.69? Tell 10.70.128.1"
"37","6.453882","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"38","6.453888","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"39","6.657374","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.69? Tell 10.70.128.1"
"40","7.478090","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"41","7.682066","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.69? Tell 10.70.128.1"
"42","8.704448","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.69? Tell 10.70.128.1"
"43","8.704452","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"44","8.945270","10.70.129.112","151.101.1.69","TCP","54","","","","","","","59880  >  443 [ACK] Seq=1 Ack=1 Win=2056 Len=0"
"45","8.953916","151.101.1.69","10.70.129.112","TCP","66","","","","","","","[TCP ACKed unseen segment] 443  >  59880 [ACK] Seq=1 Ack=2 Win=285 Len=0 TSval=555071460 TSecr=1422738085"
